Orientation_deg,RR_m_per_yr,Max_Wave_Height_m,Mud_percent,BaseEl_m,BluffEl_m,Seawall
0.060606061,0.019736842,0.03944236,0.373303167,0.355727156,0.121527483,0
0.803030303,0.065789474,0.156796252,0.373303167,0.319176319,0.252739784,0
0.015151515,0.125,0.54061291,0.090497738,0.892149292,0.628833574,1
0.121212121,0.434210526,0.965399261,0.145927602,0.515057915,0.34024297,1
0.939393939,0.052631579,0.628805882,0.323529412,0.403603604,1,0
0.212121212,0.223684211,0.993167338,0.022624434,0.607722008,0.241228443,1
0.318181818,0.559210526,0.887757281,0.022624434,0.866409266,0.697859145,1
0,0.105263158,0.371540949,0.656108597,0.324324324,0.015164387,1
0.257575758,0.309210526,1,0.656108597,1,0.06685923,1
0.272727273,0.039473684,0.479550176,0.971719457,0.657915058,0.399243905,0
0.318181818,0.105263158,0.482465732,0.188914027,0.479021879,0.381913176,1
0.954545455,0.039473684,0.106448916,0.418552036,0.353410553,0.410755246,1
0.772727273,0.572368421,0.598219754,0.339366516,0.345945946,0.287698581,0
0.196969697,1,0.92548739,0.101809955,0.67979408,0.081641322,1
0.287878788,0.026315789,0.299638134,0,0.186615187,0.12857871,0
0.409090909,0,0.282636986,0.305429864,0.146460746,0.335018265,0
0.333333333,0.052631579,0.118264594,0.36199095,0.302187902,0.03818707,0
0.121212121,0.065789474,0.409907098,0.735294118,0.501415701,0.710517373,0
1,0.105263158,0.522174008,0.735294118,0.484684685,0.653427916,0
0.909090909,0.006578947,0.222399177,0.410633484,0.386615187,0.159502166,0
0.696969697,0.111842105,0.187852218,0.81561086,0.257915058,0.110865687,0
0.696969697,0.046052632,0.138707206,0.81561086,0.325868726,0.017797978,0
0.636363636,0.092105263,0.047644242,0.694570136,0.332561133,0.193653895,0
0.090909091,0.085526316,0.138396582,0.694570136,0.363706564,0.25265483,0
0.045454545,0,0.567629213,0.622171946,0.656113256,0.482117067,1
0.181818182,0.315789474,0.09563597,0.341628959,0.081853282,0.134780392,0
0.318181818,0.065789474,0.097201553,0.28280543,0.373745174,0.151558916,0
0.939393939,0.184210526,0.045263706,0.126696833,0.456885457,0.077690935,0
0.333333333,0.197368421,0.072703424,1,0,0.109803755,0
0.893939394,0.131578947,0.088106949,0.475113122,0.497812098,0.07450514,0
0.181818182,0.131578947,0,0.475113122,0.415186615,0,0
